"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AACSP1",6.66443035145458,-2.15946159125033,0.705564663513675,-3.06061471459799,0.00220883127979929,0.017580769006256
"ABCA10",5.78528821971955,1.7215431214357,0.441409552215217,3.9001039121064,9.6151410982795e-05,0.00166435539718891
"ABCA3",21.8844529005404,-1.95827693609706,0.479003807537373,-4.08822832988497,4.34680205445477e-05,0.000899719028414129
"ABCA5",32.9658230686734,1.11819945524407,0.303598147844255,3.68315638018221,0.000230363741294344,0.00322039277623789
"ABCA6",2.44093041363095,1.4210705488289,0.486740447304889,2.91956535910967,0.00350519882864731,0.0247137670774977
"ABHD11_AS1",3.03760289836087,-1.06518740076445,0.395947917338356,-2.6902209965514,0.00714047151073639,0.0407788679562055
"ACAD10",15.1810537063206,-1.42781964863175,0.286596440193848,-4.9819866836657,6.2934766817269e-07,2.96627479264044e-05
"ACBD5",103.763958586516,1.16360100090266,0.372850686619783,3.12082300679589,0.00180346392768762,0.0152543802921383
"ACOT7",7.13811754469031,-1.04826579168902,0.312101789636992,-3.35873047350439,0.000783013967791431,0.00820120653815283
"ACOXL",22.4922150820163,3.23541415114665,0.835963543966303,3.87028139504259,0.000108709800140523,0.00182520488476278
"ACRBP",4.31893887515957,1.76894927610434,0.574454497460903,3.0793549078702,0.00207449389646627,0.0168108133049737
"ACSL1",135.340504362798,1.55181417398043,0.536517034227289,2.89238565596599,0.00382328321743225,0.0262176500102107
"ACSL4",13.5021616950139,1.0535345550262,0.366600083758783,2.87379791140312,0.00405568380226271,0.0272608849389205
"ACSM1",3.27494916153043,-2.80050267291369,0.467160688371128,-5.99473102644475,2.03822514380775e-09,2.31117007610896e-07
"ACTA2",96.8466822578826,4.60486741026158,0.733570533844418,6.27733421369706,3.44427201485356e-10,4.85549265661519e-08
"ADA",16.6269245333873,-1.78365670505709,0.646551586090653,-2.75872295951185,0.00580277057275769,0.0351581747236932
"ADAM28",69.8582059947003,1.10687786563,0.359382340251099,3.07994506590566,0.00207038778236407,0.0167898230968832
"ADAMDEC1",4.07155196686948,1.58299537321565,0.541229300398299,2.9248146248747,0.00344661471157778,0.0243928661269874
"ADAMTS6",4.90334726927763,-3.08849425616401,0.533817935292729,-5.78566970491611,7.2224003844395e-09,7.1529190642854e-07
"ADAMTS8",7.61478415718951,-2.59774804783972,0.463715415286272,-5.60203081934641,2.11854875013927e-08,1.74479214958839e-06
"ADAMTSL3",7.31042270617495,-1.7110795711463,0.411246454710761,-4.16071567680686,3.1725185120099e-05,0.000697241147133862
"ADARB1",7.31384869588639,-1.1014974131336,0.405152238964293,-2.71872473406392,0.00655341203333109,0.0383786644826216
"ADARB2",31.8218561119774,1.64642925965289,0.495968744447787,3.31962301674077,0.000901390807698341,0.00920575371900224
"ADCK2",1313.73326982688,5.63401654173265,0.768882113578808,7.32754273019668,2.34410942639372e-13,7.65635181972362e-11
"ADCY5",22.7378314797891,-1.94565249527524,0.61699788180818,-3.15341843568943,0.00161370316553515,0.0141101755216479
"ADD2",2.17435640285596,-2.01706837593786,0.694473941846848,-2.90445509096248,0.00367892977714442,0.0255857302901137
"ADGRF5",3.03018893845034,1.88030032729229,0.655116323625605,2.87017779817508,0.00410241051783639,0.027485041289242
"ADGRG6",17.2211218918104,-1.88010582283955,0.641084565232193,-2.93269550509081,0.00336033279621002,0.0240322155370632
"ADIRF",9.2745401976589,-1.41382129656369,0.436276947241453,-3.24065093400688,0.00119257119436648,0.0112825598847924
"ADM",33.4935242786466,1.900761370567,0.585756812033375,3.24496673622755,0.00117464344130421,0.0111601824951599
"ADORA1",6.58445050330267,-3.0264040637794,0.58864907038873,-5.14127043771739,2.72886929708544e-07,1.51423215463805e-05
"ADPRH",91.140487756156,-2.00743654757018,0.545278356988075,-3.68148950319347,0.000231875337324079,0.00323385497187807
"ADRA1A",5.0386332674889,-1.55140981423685,0.55616574812665,-2.78947385642232,0.00527937586197123,0.0327731344604718
"ADRB1",17.7128726246585,-1.48109458638207,0.3235698755301,-4.5773562324231,4.70889195935917e-06,0.000150070756374852
"AFAP1_AS1",2.3738408846645,-1.54591663904714,0.477259141306636,-3.23915563945981,0.00119884135119153,0.0113076970846564
"AGPAT2",10.2155982391667,-1.15869840894126,0.276610114733059,-4.18892277333913,2.80281753864111e-05,0.000627446192341288
"AGR3",9.94013986409827,1.69344559091516,0.471258805407348,3.59345135090128,0.000326326599486113,0.00423473293810993
"AIF1",19.6040845416093,1.46495598183317,0.483456056299758,3.03017402045916,0.00244412868634875,0.0190751749047308
"AIM2",5.8977333156236,2.66441066741658,0.735900592912453,3.62061220371044,0.000293906757267786,0.00390411964153337
"AK9",232.028700852023,1.1925555766999,0.331872565939409,3.59341415679907,0.000326373205736233,0.00423473293810993
"AKAP7",5.32070720502522,1.39376144118874,0.384372789510135,3.62606687888864,0.000287770853882029,0.00383237303961361
