"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048193","Golgi vesicle transport","219/6757","319/18842",0.686520376175549,1.91437278790879,12.3159687379171,3.79082375849828e-33,2.20815483932525e-29,2.20815483932525e-29,"HYOU1/SPIRE2/UVRAG/SURF4/TRIP11/RAB34/VPS52/AP2M1/GLTP/MAPK15/COPE/EPS15/COG3/SCAMP2/KDELR2/MACF1/GOPC/GOLT1B/COPB2/RAB31/SNX3/CREB3L2/STX5/ARF5/SORT1/STX6/NRBP1/NAPA/ANKFY1/COPZ1/VCP/GAK/GOLGA7/SEC24D/TM9SF4/RABGGTB/YKT6/MYO18A/RNF139/HTT/TBC1D14/CNST/ARF3/STX18/OSBPL5/BICD2/LAMP1/NBAS/SCFD1/RER1/EXOC6B/SPAST/SEC24C/STX10/SPTBN1/PDCD6/VAMP2/RAB2A/PITPNB/EXOC5/COG6/TRAPPC11/SHISA5/YIPF5/GABARAPL2/SNX12/YIF1A/SEC23IP/PSMD14/SCAMP3/TMED1/VPS54/TRAPPC9/SYS1/TMED10/TMED2/SCAP/PPP6C/YIPF6/KIF1C/EXOC1/RP2/TEX261/GOSR2/ARFRP1/RAB43/ARCN1/SAR1A/RAB10/CLN3/AP1M2/GBF1/PRKCI/TFG/SCYL1/SEC31B/CSNK1D/ERGIC3/TRAPPC1/EXOC8/COPA/MCFD2/EHD3/TAPBP/CCDC22/RABGGTA/LMAN1/RBSN/SEC31A/LMAN2/SEC24A/RAB26/AP2A1/PREPL/YIF1B/ERGIC1/SORL1/NSF/VAPB/KLHL20/BCAP31/KIF16B/ARF4/RAB3IP/USE1/COG8/GOLPH3L/GGA3/DNM2/COMMD1/TBC1D20/ARFGEF2/COG4/COPG1/KRT18/RABIF/GOSR1/TMED4/RAB11A/YIPF4/VPS41/SNX8/BBS1/CNIH4/ATP9A/GOLGA5/RAB11FIP3/AP3M2/ANK3/CYTH3/GGA2/KDELR1/AP1G2/WIPI1/SCAMP1/VPS13C/KLHL12/LLGL1/VPS13A/MYO5A/VAMP4/SEC24B/CSK/RAB13/BET1L/ACBD3/PEF1/EXOC2/SPIRE1/IER3IP1/TRAPPC12/TMED3/NAPG/GOLGA2/CUL3/TRAPPC3/VAMP7/AP4M1/CUX1/KIF13A/RAB1A/LMAN2L/TRAPPC6B/MYO1B/RAB14/TRAPPC2L/PREB/PGAP1/RAB6B/ZW10/MPPE1/WHAMM/RAB6A/LLGL2/AP1G1/SAR1B/RAB1B/ALDH7A1/VTI1B/SEC23B/RUFY1/COG5/STXBP5/SEC16A/ATP2C1/ARFGAP2/STX17/SNX1/COG1/TRAPPC8/AP3M1/SEC23A/COPG2/ACSL3/RABEP1/EXOC4/COPB1/SGSM2/VAPA",219
"GO:0016236","macroautophagy","243/6757","369/18842",0.658536585365854,1.83633955031277,12.1320086084307,3.29061712013893e-32,9.58392236240463e-29,9.58392236240463e-29,"VPS28/MTM1/SPG11/GSK3A/ATG16L1/SUPT5H/MVB12A/VPS4A/UVRAG/ATG2A/TSC2/MAP1LC3A/SCOC/ATP6V1A/UBQLN1/FKBP8/CLEC16A/PRKACA/NBR1/SNX14/PGAM5/SH3GLB1/RAB7A/SKP1/CASP3/UFM1/MFN2/ATP6V0C/NIPSNAP3A/SNX18/SIRT1/CCPG1/RTN3/PIK3C3/VCP/TMEM39A/CALM1/CHMP2A/EXOC7/HTT/TBC1D14/TIMM23/PDCD6IP/NSFL1C/GABARAPL1/WIPI2/SLC25A5/VPS16/ATM/MAPK8/STX4/ULK1/PLEKHM1/USP36/SCFD1/WDR45B/HDAC10/NIPSNAP1/IKBKG/ATP13A2/AKT1/CAPNS1/RAB2A/AUP1/ADRB2/SNX4/GNAI3/PAFAH1B2/CDC37/LARP1/ZNRF2/ATP6V0B/GABARAPL2/PHB2/RAB3GAP2/LGALS8/RHEB/STAM2/FUNDC1/TRAF6/PSMD14/WAC/UFC1/RAB2B/QSOX1/PIP4K2C/MAP3K7/LAMP2/BAG3/STUB1/EIF2AK1/GAPDH/EXOC1/EIF2S1/VPS39/RAB43/ELAVL1/SESN3/DNAJC16/CLN3/CHMP6/FYCO1/GABARAP/EXOC8/ATG7/SREBF1/MOAP1/PIP4K2B/RNF31/VPS4B/ULK2/ATP6V0D1/CHMP7/CAPN1/TCIRG1/ATG4B/ATP6V0E2/LRBA/VDAC1/NRBP2/ATG12/UBXN2B/CHMP1A/ATP6V0E1/VPS25/VAMP8/RB1CC1/UBE2A/NEDD4/DDRGK1/SMCR8/PHF23/WDFY3/WDR24/OGT/CHMP4C/IRGQ/ATP6V1D/ATP6V1H/PIK3R4/VPS41/SNF8/TOM1/VPS35/CHMP4B/KAT5/LIX1L/PIP4K2A/WDR81/UBA5/KLHL3/WIPI1/TECPR1/TSG101/VPS13C/ATG2B/CDK5RAP3/MTMR14/GAA/VPS13A/ABI2/CHMP3/SNX30/HGS/SQSTM1/ATG9A/AMBRA1/IFT88/ATG4A/ATG13/PIKFYVE/ATG4D/VPS37B/CSNK2A2/MUL1/ATG10/VPS18/VPS13D/TMEM41B/UBQLN4/VAMP7/AP4M1/TBC1D12/MTMR3/RAB5A/VPS26A/RAB1A/FEZ2/ATP6V1C1/STX12/BNIP3L/TBC1D5/ULK3/VPS37C/TBC1D25/TRIM13/HUWE1/SPATA33/MTOR/SNX7/ARFIP2/UBXN6/VPS36/TP53INP2/TOMM7/FZD5/ATP6V1G1/ZFYVE26/CUL1/VPS26B/PRKAA2/PEX5/CTTN/HK2/USP30/SNAP47/ATG101/RAB1B/UBQLN2/CDK5/TSC1/ZFYVE1/VTI1B/PEX2/VPS33A/BECN1/RAB3GAP1/FBXW7/SREBF2/CHMP1B/ERN1/EI24/EPG5/SRC/SMURF1/CSNK2A1/BNIP3/YOD1/STX17/TP53INP1/EXOC4/LRSAM1/ATG14",243
"GO:0008380","RNA splicing","301/6757","492/18842",0.611788617886179,1.70598211309921,11.86489288445,6.01226014201737e-31,1.16738051090837e-27,1.16738051090837e-27,"POLR2A/SART3/NUP98/HNRNPM/HNRNPK/WDR77/ZNF638/SNRNP70/CWC27/LGALS3/TXNL4B/SNRNP200/TADA3/SNRNP35/GCFC2/PPIL2/SF3B3/RBM22/STRAP/LUC7L/SNRNP40/GEMIN7/RBM14/SRSF3/PRPF3/RBM6/MFAP1/KAT2A/HNRNPUL2/AKAP17A/NONO/SRSF2/CLASRP/TRA2B/USP22/FUS/PRPF40A/ATXN7L3/GEMIN5/CWF19L1/BCAS2/PTBP1/DCPS/RBM38/WDR83/HABP4/SF3A2/SUPT20H/CTNNBL1/PUF60/HNRNPLL/SLU7/ZPR1/CD2BP2/SART1/NRDE2/RBM15/ZCRB1/SNRNP48/THOC5/CDK13/SF3A1/PRPF19/DHX8/ESRP1/DYRK1A/SNRPD2/SLC38A2/DHX35/ILF3/TADA2B/CELF1/CCAR2/RBMX2/PRMT7/NCBP2/PCBP4/USP49/PPP1R9B/KHDRBS3/RPS13/SNRPB/TRRAP/KHSRP/EFTUD2/HTATSF1/CLK3/GPKOW/U2AF2/CLP1/ENY2/ANGEL2/LSM8/PRPF8/FMR1/ZC3H13/CDK12/METTL3/SMU1/SFSWAP/SNU13/METTL16/TTF2/HNRNPH1/RPUSD4/FAM50A/TXNL4A/C2orf49/TAF5L/PRMT1/PNN/RBM42/HNRNPR/DDX1/USP4/CELF6/RBM15B/PTBP3/RBM47/CASC3/RALY/PUS1/AQR/DHX9/DDX41/SF1/RSRP1/RBM4/SNRPA/SRSF7/PPIL4/HNRNPL/TSEN15/THRAP3/DHX15/HNRNPA1L2/PABPC1/AHNAK2/SRSF10/SNRPF/BUD13/CRNKL1/SUPT6H/SFPQ/ATXN7/IWS1/PRPF39/SYF2/DBR1/MBNL2/COIL/NCBP1/HNRNPA3/PPIL3/DHX16/DAZAP1/PRPF18/CELF2/LSM1/DHX40/TAF10/CIRBP/DDX46/CWC15/ECD/DDX39A/PQBP1/RTCB/TSEN54/RBM5/PRPF38B/SUGP2/PRMT5/RBM41/SRSF9/TRPT1/U2AF1L4/SRRM1/SF3B4/GPATCH1/PLRG1/PRX/TAF6L/FAM98A/HNRNPU/SNW1/PPARGC1A/RBM20/NCL/GEMIN4/RBMXL1/RRP1B/ZC3H14/TARDBP/SRSF1/RNPC3/AKAP8L/PPIL1/LSM4/HNRNPA2B1/RBFOX2/NOL3/AAR2/MAGOH/TSSC4/PDCD7/RBM28/RBM19/NKAP/TFIP11/SDE2/FRA10AC1/HNRNPUL1/TCERG1/DNAJC17/LUC7L3/CLNS1A/UBL5/FAM32A/SNRNP25/RNPS1/ZBTB8OS/SF3B2/YBX1/KIN/LSM10/RBM10/SON/RBM17/CCNL2/IK/ZBTB7A/SNRPD3/SUPT7L/RBM12B/AHNAK/SCAF11/SAP30BP/SNRPA1/PRPF4/DDX23/DHX38/WBP11/USB1/PPIH/SRSF11/CWF19L2/GRSF1/DDX20/ILDR1/SRSF6/SRSF5/PRPF40B/SRPK2/TIAL1/HNRNPF/ARL6IP4/SNRNP27/LUC7L2/ZMAT2/CACTIN/CDC5L/KHDRBS1/CLK2/PRDX6/PPP1R8/DDX5/SRSF8/PRPF6/SRRM2/PUS7/TGS1/THOC6/DDX42/PAXBP1/ZCCHC8/THOC2/MPHOSPH10/PIK3R1/RNF113A/MBNL3/SAP18/SCAF1/C9orf78/USP39/ERN1/PRPF38A/SF3A3/XAB2/SMNDC1/PRPF31/ALYREF/METTL14/RBPMS/SNIP1/HNRNPH3/SUGP1/TRA2A/ARMC7/SNRPD1/DDX17",301
"GO:0010506","regulation of autophagy","220/6757","358/18842",0.614525139664804,1.71361294680542,10.1932308733429,2.79726732037218e-23,4.07352053529198e-20,4.07352053529198e-20,"MTM1/GSK3A/ATG16L1/SNRNP70/ITPR1/SUPT5H/UVRAG/ATG2A/BCL2L1/DEPDC5/DDB1/TSC2/MAPK15/SCOC/ATP6V1A/UBQLN1/FKBP8/CLEC16A/PRKACA/SH3GLB1/SKP1/CASP3/OSBPL7/FOXK1/ATP6V0C/HAX1/DAP/SNX18/ABL1/TAB3/FOXO3/SIRT1/CAMKK2/PIK3C3/TMEM39A/PRKAA1/EXOC7/HTT/PIK3R2/TBC1D14/WDR41/SLC25A5/ATM/MAPK8/CDK16/ULK1/USP36/SCFD1/SVIP/EP300/IKBKG/ATP13A2/AKT1/TRIM8/PLEKHF1/CAPNS1/ADRB2/SNX4/GNAI3/BOK/PAFAH1B2/CDC37/LARP1/ATP6V0B/WDR6/RAB3GAP2/MID2/RHEB/PSMD14/WAC/QSOX1/PIP4K2C/MAP3K7/BAD/BAG3/STUB1/TRIM23/EIF2AK1/GAPDH/NPRL3/EXOC1/GSK3B/TFEB/ELAVL1/SESN3/CLN3/SH3BP4/PARK7/STAT3/FYCO1/PSAP/RRAGB/TRIM27/EXOC8/WNK1/SREBF1/MOAP1/PIP4K2B/RNF31/XBP1/ULK2/TPCN1/DCAF12/ATP6V0D1/EEF1A1/CAPN1/SETD2/ATF6/ATP6V0E2/VDAC1/NRBP2/EIF4G2/ATG12/PIM2/STK38L/ABL2/ATP6V0E1/RB1CC1/UBE2A/NEDD4/DDRGK1/SMCR8/PHF23/EIF4G1/TRIM65/WDR24/IRGQ/ATP6V1D/ATP6V1H/PIK3R4/NOD1/TOM1/PLK2/GPR137/VPS35/MTMR9/KAT5/SIRT2/PIP4K2A/ACER2/DHRSX/VHL/KAT8/WIPI1/DEPTOR/TECPR1/VPS13C/CDK5RAP3/DRAM2/USP20/SNX30/USP10/GPR137B/SQSTM1/AMBRA1/RAB37/ATG13/CSNK2A2/MUL1/FOXK2/PLK3/PIK3CB/GOLGA2/VPS13D/KEAP1/UBQLN4/RRAGD/FOXO1/VPS26A/MTDH/DAPK3/FEZ2/ATP6V1C1/BNIP3L/ULK3/BMF/FLCN/TBC1D25/TRIM13/ORMDL3/HUWE1/MLST8/MTOR/SNX7/TOMM7/FZD5/ATP6V1G1/CCNY/CUL1/VPS26B/PRKAA2/RRAGA/ROCK1/CTTN/HK2/USP30/ATG101/UBQLN2/CDK5/TSC1/STK11/KLHL22/BECN1/TAB2/DAPK2/RAB3GAP1/FBXW7/UBR4/SREBF2/ERN1/CISD2/KDM4A/TMEM59/SLC7A5/CSNK2A1/BNIP3/TP53INP1/EXOC4/LRSAM1/ATG14",220
"GO:0016197","endosomal transport","193/6757","310/18842",0.62258064516129,1.73607584965651,9.77119942219163,1.63375996176829e-21,1.90333035546005e-18,1.90333035546005e-18,"VPS28/TMEM50B/BLOC1S2/ALS2/MVB12A/VPS4A/REPS1/VPS52/DCTN1/EPS15/HEATR5B/CLEC16A/CRACR2A/MICALL2/ERC1/RAB7A/LAPTM4B/GOLT1B/RAB35/SNX3/STX5/EHD4/SNX18/SORT1/NF2/STX6/RAB5B/STX16/ZDHHC2/ANKFY1/PIK3C3/VCP/TBC1D10A/RAB12/YKT6/CHMP2A/PLEKHJ1/VAMP3/COMMD2/TBC1D14/EVI5/LAMTOR1/ARFIP1/VPS16/MVB12B/BAIAP3/RAB9A/CORO1C/STX10/PICALM/SNX4/ARHGAP1/SNX12/ARF6/STAM2/MICALL1/VPS54/INPP5F/AP5Z1/EPS15L1/LEPROTL1/ANKRD27/SNX33/MTMR2/DENND1C/ATP6AP1/USP7/RIC1/VPS39/ARFRP1/HOOK1/RHOBTB3/SNX9/UBAP1/RAB10/CHMP6/EHD2/RAB21/ALS2CL/HOOK2/MYO1D/GBF1/TRIM27/UBE2O/ARL1/TMEM87B/EHD3/VPS4B/CCDC22/CHMP7/VPS13B/TBC1D10B/RBSN/VPS53/RASSF9/PREPL/COMMD9/SORL1/CMTM6/CHMP1A/KIF16B/VPS25/ANKRD50/REPS2/GGA3/COMMD1/EZR/CHMP4C/GOSR1/RAB11A/PIK3R4/ITSN2/RNF126/EHBP1L1/SNX8/SNF8/TOM1/VPS29/PTPN23/ATP9A/VPS35/RAB11FIP3/CHMP4B/ACAP2/SNX17/WASH3P/WDR81/SNX2/MAPK3/GRIPAP1/TSG101/DPY30/CHMP3/VAMP4/SNX30/AKTIP/RGP1/HGS/ITSN1/SQSTM1/GRIP2/RAB13/BET1L/MAP2K2/MTMR4/PIKFYVE/VPS37B/ALMS1/RAB5C/RAB5A/PLEKHA3/VPS26A/TINAGL1/RABGEF1/AP5M1/STX12/TBC1D5/RAB14/VPS37C/MAPK1/SNX7/ABCA1/RAB6B/CLTC/UBXN6/VPS36/COMMD4/HEATR5A/RDX/LMTK2/MYO5B/EMP2/VPS26B/RAB6A/HOOK3/RILP/ALDH7A1/SGSM3/TBC1D23/AP5S1/VTI1B/BECN1/WDR91/RUFY1/RAB17/TMEM50A/STX8/CHMP1B/SRC/SNX1/EHBP1/SGSM2/ATG14",193
"GO:0000375","RNA splicing, via transesterification reactions","217/6757","361/18842",0.601108033240997,1.67619913605548,9.69998551795849,2.89743263605741e-21,2.8129241841724e-18,2.8129241841724e-18,"SART3/NUP98/HNRNPM/HNRNPK/WDR77/SNRNP70/CWC27/TXNL4B/SNRNP200/SNRNP35/GCFC2/PPIL2/SF3B3/RBM22/STRAP/LUC7L/SNRNP40/GEMIN7/RBM14/SRSF3/PRPF3/RBM6/MFAP1/HNRNPUL2/SRSF2/TRA2B/PRPF40A/GEMIN5/CWF19L1/BCAS2/PTBP1/DCPS/WDR83/SF3A2/CTNNBL1/PUF60/SLU7/CD2BP2/SART1/RBM15/ZCRB1/SNRNP48/CDK13/SF3A1/PRPF19/DHX8/DYRK1A/SNRPD2/DHX35/ILF3/CELF1/RBMX2/PRMT7/NCBP2/PCBP4/USP49/KHDRBS3/SNRPB/KHSRP/EFTUD2/HTATSF1/GPKOW/U2AF2/LSM8/PRPF8/FMR1/METTL3/SMU1/SFSWAP/SNU13/METTL16/HNRNPH1/TXNL4A/PNN/RBM42/HNRNPR/DDX1/USP4/CELF6/RBM15B/RBM47/CASC3/RALY/AQR/DHX9/DDX41/SF1/RSRP1/RBM4/SNRPA/SRSF7/PPIL4/HNRNPL/THRAP3/DHX15/HNRNPA1L2/PABPC1/SRSF10/SNRPF/BUD13/CRNKL1/SFPQ/PRPF39/SYF2/DBR1/COIL/NCBP1/HNRNPA3/PPIL3/DHX16/DAZAP1/PRPF18/CELF2/LSM1/DHX40/CIRBP/DDX46/CWC15/DDX39A/PQBP1/RBM5/PRMT5/RBM41/SRSF9/U2AF1L4/SRRM1/SF3B4/GPATCH1/PLRG1/HNRNPU/SNW1/RBM20/NCL/GEMIN4/RBMXL1/ZC3H14/SRSF1/RNPC3/PPIL1/LSM4/HNRNPA2B1/RBFOX2/NOL3/AAR2/MAGOH/TSSC4/PDCD7/RBM19/NKAP/TFIP11/SDE2/FRA10AC1/HNRNPUL1/DNAJC17/LUC7L3/CLNS1A/UBL5/FAM32A/SNRNP25/RNPS1/SF3B2/KIN/RBM10/SON/RBM17/CCNL2/IK/ZBTB7A/SNRPD3/SCAF11/SAP30BP/SNRPA1/PRPF4/DDX23/DHX38/PPIH/CWF19L2/DDX20/SRSF6/SRSF5/PRPF40B/SRPK2/TIAL1/HNRNPF/SNRNP27/LUC7L2/ZMAT2/CACTIN/CDC5L/KHDRBS1/PRDX6/DDX5/SRSF8/PRPF6/SRRM2/TGS1/DDX42/PAXBP1/ZCCHC8/MPHOSPH10/RNF113A/SAP18/C9orf78/USP39/PRPF38A/SF3A3/XAB2/SMNDC1/PRPF31/METTL14/RBPMS/SNIP1/HNRNPH3/TRA2A/ARMC7/SNRPD1/DDX17",217
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","213/6757","357/18842",0.596638655462185,1.66373620633691,9.46728598202354,2.40893790346126e-20,1.71619402436992e-17,1.71619402436992e-17,"SART3/NUP98/HNRNPM/HNRNPK/WDR77/SNRNP70/CWC27/TXNL4B/SNRNP200/SNRNP35/GCFC2/PPIL2/SF3B3/RBM22/STRAP/LUC7L/SNRNP40/GEMIN7/RBM14/SRSF3/PRPF3/RBM6/MFAP1/HNRNPUL2/SRSF2/TRA2B/PRPF40A/GEMIN5/CWF19L1/BCAS2/PTBP1/DCPS/WDR83/SF3A2/CTNNBL1/PUF60/SLU7/CD2BP2/SART1/RBM15/ZCRB1/SNRNP48/CDK13/SF3A1/PRPF19/DHX8/DYRK1A/SNRPD2/DHX35/ILF3/CELF1/RBMX2/PRMT7/NCBP2/PCBP4/USP49/KHDRBS3/SNRPB/EFTUD2/HTATSF1/GPKOW/U2AF2/LSM8/PRPF8/FMR1/METTL3/SMU1/SFSWAP/SNU13/METTL16/HNRNPH1/TXNL4A/PNN/RBM42/HNRNPR/DDX1/USP4/CELF6/RBM15B/RBM47/CASC3/RALY/AQR/DHX9/DDX41/SF1/RSRP1/RBM4/SNRPA/SRSF7/PPIL4/HNRNPL/THRAP3/DHX15/HNRNPA1L2/PABPC1/SRSF10/SNRPF/BUD13/CRNKL1/SFPQ/PRPF39/SYF2/DBR1/COIL/NCBP1/HNRNPA3/PPIL3/DHX16/DAZAP1/PRPF18/CELF2/DHX40/CIRBP/DDX46/CWC15/DDX39A/PQBP1/RBM5/PRMT5/RBM41/SRSF9/U2AF1L4/SRRM1/SF3B4/GPATCH1/PLRG1/HNRNPU/SNW1/RBM20/NCL/GEMIN4/RBMXL1/ZC3H14/SRSF1/RNPC3/PPIL1/LSM4/HNRNPA2B1/RBFOX2/NOL3/AAR2/MAGOH/TSSC4/PDCD7/RBM19/NKAP/TFIP11/SDE2/FRA10AC1/HNRNPUL1/DNAJC17/LUC7L3/CLNS1A/UBL5/FAM32A/SNRNP25/RNPS1/SF3B2/KIN/RBM10/SON/RBM17/CCNL2/IK/ZBTB7A/SNRPD3/SCAF11/SAP30BP/SNRPA1/PRPF4/DDX23/DHX38/PPIH/CWF19L2/DDX20/SRSF6/SRSF5/PRPF40B/SRPK2/TIAL1/HNRNPF/SNRNP27/LUC7L2/ZMAT2/CACTIN/CDC5L/KHDRBS1/PRDX6/DDX5/SRSF8/PRPF6/SRRM2/TGS1/DDX42/PAXBP1/ZCCHC8/RNF113A/SAP18/C9orf78/USP39/PRPF38A/SF3A3/XAB2/PRPF31/METTL14/RBPMS/SNIP1/HNRNPH3/TRA2A/ARMC7/SNRPD1/DDX17",213
"GO:0000398","mRNA splicing, via spliceosome","213/6757","357/18842",0.596638655462185,1.66373620633691,9.46728598202354,2.40893790346126e-20,1.71619402436992e-17,1.71619402436992e-17,"SART3/NUP98/HNRNPM/HNRNPK/WDR77/SNRNP70/CWC27/TXNL4B/SNRNP200/SNRNP35/GCFC2/PPIL2/SF3B3/RBM22/STRAP/LUC7L/SNRNP40/GEMIN7/RBM14/SRSF3/PRPF3/RBM6/MFAP1/HNRNPUL2/SRSF2/TRA2B/PRPF40A/GEMIN5/CWF19L1/BCAS2/PTBP1/DCPS/WDR83/SF3A2/CTNNBL1/PUF60/SLU7/CD2BP2/SART1/RBM15/ZCRB1/SNRNP48/CDK13/SF3A1/PRPF19/DHX8/DYRK1A/SNRPD2/DHX35/ILF3/CELF1/RBMX2/PRMT7/NCBP2/PCBP4/USP49/KHDRBS3/SNRPB/EFTUD2/HTATSF1/GPKOW/U2AF2/LSM8/PRPF8/FMR1/METTL3/SMU1/SFSWAP/SNU13/METTL16/HNRNPH1/TXNL4A/PNN/RBM42/HNRNPR/DDX1/USP4/CELF6/RBM15B/RBM47/CASC3/RALY/AQR/DHX9/DDX41/SF1/RSRP1/RBM4/SNRPA/SRSF7/PPIL4/HNRNPL/THRAP3/DHX15/HNRNPA1L2/PABPC1/SRSF10/SNRPF/BUD13/CRNKL1/SFPQ/PRPF39/SYF2/DBR1/COIL/NCBP1/HNRNPA3/PPIL3/DHX16/DAZAP1/PRPF18/CELF2/DHX40/CIRBP/DDX46/CWC15/DDX39A/PQBP1/RBM5/PRMT5/RBM41/SRSF9/U2AF1L4/SRRM1/SF3B4/GPATCH1/PLRG1/HNRNPU/SNW1/RBM20/NCL/GEMIN4/RBMXL1/ZC3H14/SRSF1/RNPC3/PPIL1/LSM4/HNRNPA2B1/RBFOX2/NOL3/AAR2/MAGOH/TSSC4/PDCD7/RBM19/NKAP/TFIP11/SDE2/FRA10AC1/HNRNPUL1/DNAJC17/LUC7L3/CLNS1A/UBL5/FAM32A/SNRNP25/RNPS1/SF3B2/KIN/RBM10/SON/RBM17/CCNL2/IK/ZBTB7A/SNRPD3/SCAF11/SAP30BP/SNRPA1/PRPF4/DDX23/DHX38/PPIH/CWF19L2/DDX20/SRSF6/SRSF5/PRPF40B/SRPK2/TIAL1/HNRNPF/SNRNP27/LUC7L2/ZMAT2/CACTIN/CDC5L/KHDRBS1/PRDX6/DDX5/SRSF8/PRPF6/SRRM2/TGS1/DDX42/PAXBP1/ZCCHC8/RNF113A/SAP18/C9orf78/USP39/PRPF38A/SF3A3/XAB2/PRPF31/METTL14/RBPMS/SNIP1/HNRNPH3/TRA2A/ARMC7/SNRPD1/DDX17",213
"GO:0007033","vacuole organization","151/6757","230/18842",0.656521739130435,1.83072112012663,9.47825208320946,2.65163025224536e-20,1.71619402436992e-17,1.71619402436992e-17,"MTM1/SPG11/ATG16L1/OSBPL9/VPS4A/ATG2A/RAB34/MAP1LC3A/ATP6V1A/UBQLN1/SH3GLB1/RAB7A/LAPTM4B/MFN2/ATP6V0C/SNX18/NPR2/PIK3C3/TMEM39A/CHMP2A/TBC1D14/NSFL1C/LAMTOR1/GABARAPL1/WIPI2/VPS16/LAMP1/ATM/ULK1/SCFD1/WDR45B/ATP13A2/SNX4/TMEM9/ATP6V0B/PPT1/GABARAPL2/RAB3GAP2/TRAF6/VPS54/PIP4K2C/LAMP2/CLN6/AP5Z1/BAG3/GNPTAB/ATP6AP1/MCOLN1/VPS39/HOOK1/TFEB/RAB43/ELAVL1/DNAJC16/CLN3/CHMP6/HOOK2/GABARAP/VIPAS39/ATG7/MOAP1/HPS4/PIP4K2B/VPS4B/ULK2/CHMP7/TFE3/TCIRG1/ATG4B/LRBA/ANXA2/ATG12/UBXN2B/CHMP1A/VPS33B/RB1CC1/SMCR8/PHF23/CHMP4C/IRGQ/ATP6V1D/ATP6V1H/OSBPL10/OSBPL11/PI4KB/TOM1/ATP10B/VPS35/CHMP4B/PIP4K2A/WIPI1/ATG2B/GAA/CHMP3/SNX30/AKTIP/ATG9A/AMBRA1/HPS1/IFT88/ATG4A/RAB20/ACP2/ATG13/PIKFYVE/ATG4D/ATG10/VPS18/TMEM41B/AP4M1/TBC1D12/MTMR3/RAB5A/RAB1A/FEZ2/AP5M1/STX12/ULK3/RAB14/FLCN/MTOR/SNX7/ABCA1/ARFIP2/TP53INP2/SYT7/ZFYVE26/HOOK3/ATG101/RAB1B/UBQLN2/AP5S1/VPS33A/BECN1/PPP3CB/RAB3GAP1/CHMP1B/ATP6V1F/ATP6AP2/SMURF1/TMEM175/BNIP3/FNIP1/STX17/TMEM63A/MBTPS1/TP53INP1/LRSAM1/GRN/TPP1/ATG14",151
"GO:0072594","establishment of protein localization to organelle","212/6757","356/18842",0.595505617977528,1.66057671362033,9.40876002031396,4.07073789839071e-20,2.37120482581259e-17,2.37120482581259e-17,"VPS28/NUP98/PTTG1IP/PEX13/MVB12A/VPS4A/CDH1/SSR2/ASF1A/TSC2/RBM22/EPS15/TNPO1/YWHAB/SIRT6/GNPTG/PRKCD/RAB7A/NUP188/NUP88/EIF4ENIF1/ZNF827/NOTCH1/HEATR3/UFM1/ZFAND2B/LONP2/DNAJC15/GPN3/TIMM22/PEX6/SEC61B/PEX26/IPO13/ZFAND6/TIMM50/PARP1/SYK/COX18/GET4/MAVS/PIK3C3/RANBP2/NDUFA13/ZPR1/PIK3R2/HSPD1/NUP153/TIMM23/MDFIC/LAMP1/MVB12B/SAMM50/NUP107/NUP155/EP300/AKT1/M6PR/USP9X/SSR3/IPO7/GPN1/RPAIN/JUP/TERF1/SUMO1/PHB2/RAB3GAP2/STAM2/RANBP6/TIMM10B/CBL/SSR1/WRAP53/VPS54/LAMP2/NCOA4/TNPO2/PEX3/BAG3/FAM53C/GNPTAB/NUP54/SRP68/RAN/USP7/TIMM17B/SMAD3/KPNA1/NUP93/SGTA/ELAVL1/UBAP1/RAB10/DMAP1/RANBP17/STAT3/TNPO3/TIMM10/TIMM44/CCT6A/APOD/MOAP1/IPO8/RUVBL2/NABP2/HDAC3/XBP1/HERPUD1/VPS53/SPCS3/CD36/OXA1L/NUTF2/TRIM28/SRP72/BCS1L/GRPEL1/SORL1/SNUPN/SEC61A1/DNAJC19/VPS25/MAN1A1/NEDD4/TOMM5/NUP214/GOLPH3L/GGA3/IGF2R/TRAM1/YWHAE/RAB11A/MON1B/PIK3R4/CHP1/VPS41/SNF8/TOMM34/PTPN23/TIMM17A/CHMP4B/TARDBP/WASH3P/KPNA4/POM121C/TSG101/NUP85/NUP62/AIFM1/TOMM20/HGS/SQSTM1/CBLB/IPO9/KPNB1/KPNA7/SSR4/VPS37B/SEC63/NIPBL/HCLS1/SPRN/PEX19/BAG6/SEC61A2/AP4M1/TSPAN17/CFL1/SRP14/IPO4/VPS37C/SRPRB/SUFU/TOMM6/ACD/LRWD1/VPS36/TOMM7/HSPA5/TRAF3IP2/PEX14/NEURL3/PEX5/PEX16/TCP1/TRAM2/PIK3R1/SEC61G/HSPA4/PEX2/APPL2/BECN1/IFT122/RAB3GAP1/NUP133/UBR5/WBP2/TERT/SMURF1/TOMM40/SPIDR/GFER/MTX1/AP3M1/NUP50/LRSAM1/TIMM8B/HACL1/KPNA6/TMCO6/ATG14",212
