"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"LETM1",86.6928316382844,-2.85155504561806,0.25724226667614,-11.0850953168131,1.48192502722927e-28,2.31891628260835e-24,"Down","COVID19_vs_Healthy"
"IFI6",215.813302041493,4.17997368489285,0.380782732022378,10.9773194353971,4.91285796919606e-28,3.84382007509899e-24,"Up","COVID19_vs_Healthy"
"IFIT1",135.025059564902,5.35399948639352,0.501695960424935,10.671801068238,1.37926599969227e-26,7.1942514543949e-23,"Up","COVID19_vs_Healthy"
"ATP2A2",467.92566762257,-2.55768793243956,0.249827474592961,-10.2378168638447,1.34231015914153e-24,5.25111734256168e-21,"Down","COVID19_vs_Healthy"
"RSAD2",192.27843887637,5.33409008904523,0.564664621808113,9.44647474453938,3.50434288916926e-21,1.09671915059441e-17,"Up","COVID19_vs_Healthy"
"EPSTI1",112.452287391431,3.30939938355193,0.356185638743628,9.29122071070905,1.52528802008631e-20,3.65105105469954e-17,"Up","COVID19_vs_Healthy"
"IFITM1",114.514739938221,3.80631244467844,0.409988966652617,9.2839387258524,1.63326670391723e-20,3.65105105469954e-17,"Up","COVID19_vs_Healthy"
"FTH1P3",8.96279644523649,-4.2468658822398,0.460258632312839,-9.2271292357928,2.77982120679934e-20,5.43733028049951e-17,"Down","COVID19_vs_Healthy"
"ISG15",134.099300341688,5.45200393411483,0.595517871938939,9.15506350189578,5.43258488827481e-20,9.44545425908047e-17,"Up","COVID19_vs_Healthy"
"IFI44",68.3720340521568,2.96275985029266,0.32723163308062,9.0540141929455,1.37806904699513e-19,2.15640244473798e-16,"Up","COVID19_vs_Healthy"
"IFIT2",273.225792770116,5.50677230372424,0.61628516067331,8.93542901099213,4.05601346418853e-19,5.76986351705656e-16,"Up","COVID19_vs_Healthy"
"DDX60",74.1772918766726,3.03216246896283,0.342134042945447,8.86249857763002,7.82408108273909e-19,1.02026017318918e-15,"Up","COVID19_vs_Healthy"
"LRRC8D",32.3912913797824,-2.57245210978847,0.290643882760014,-8.85087305247899,8.68372889333875e-19,1.04525376709973e-15,"Down","COVID19_vs_Healthy"
"IFIT3",272.909648191273,4.53091164275534,0.51300896961308,8.832032013344,1.02791014309122e-18,1.14890985136368e-15,"Up","COVID19_vs_Healthy"
"AP3B1",76.837708357341,-1.52786861816523,0.175224383422663,-8.71949775665538,2.79438525619603e-18,2.9151026992637e-15,"Down","COVID19_vs_Healthy"
"SP100",156.879048415459,2.03131755825099,0.236297921522156,8.59642583889817,8.22372280655159e-18,8.04280090480745e-15,"Up","COVID19_vs_Healthy"
"DSC3",24.6820023396441,-4.29727424084858,0.501723370586117,-8.56502705032151,1.08050476028395e-17,9.94572852289604e-15,"Down","COVID19_vs_Healthy"
