"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"GUK1",1087.13453015142,-4.37823993019334,0.307419283837389,-14.241917018157,5.03272901691751e-46,8.03525514841049e-42,"Down","COVID19_vs_OtherVirus"
"SNORD87",94.1225360038957,2.88144789363999,0.229889260608166,12.5340691688563,4.86034562719439e-36,3.88001391418928e-32,"Up","COVID19_vs_OtherVirus"
"FAM159B",8464.61035094998,-4.42775776562564,0.35539027808363,-12.4588601283677,1.25146553845662e-35,6.66029959566613e-32,"Down","COVID19_vs_OtherVirus"
"SNORD102",18.8098176462022,4.48358845099947,0.360928656855377,12.4223675949234,1.97625060700148e-35,7.88820429784643e-32,"Up","COVID19_vs_OtherVirus"
"PTCH1",2950.39183057043,-4.23075977652879,0.358537777671489,-11.8000390475038,3.90130386567623e-32,1.24576435038773e-28,"Down","COVID19_vs_OtherVirus"
"MIR191",773.541949188254,-3.97233809520373,0.343589939232206,-11.5612759328181,6.47396164218788e-31,1.47661816541674e-27,"Down","COVID19_vs_OtherVirus"
"SNORD99",163.581760174231,2.96623821987094,0.25648590308137,11.564917152308,6.20511592737342e-31,1.47661816541674e-27,"Up","COVID19_vs_OtherVirus"
"CACNA1F",102.912113359806,-3.69896543287048,0.327638484572893,-11.2897770165566,1.4741016604148e-29,2.94193838877284e-26,"Down","COVID19_vs_OtherVirus"
"SNORD61",48.2673225600331,2.96446176785507,0.265224055907414,11.1771979269102,5.2728630373097e-29,9.35405902818741e-26,"Up","COVID19_vs_OtherVirus"
"SNORD45A",16.1048256068238,3.74228705790248,0.336925585222758,11.1071620026371,1.15780912380338e-28,1.84855804706447e-25,"Up","COVID19_vs_OtherVirus"
"SNORD12B",86.9240634393898,3.1697461564209,0.287816002124302,11.0130991085477,3.30437869455038e-28,4.79615547610831e-25,"Up","COVID19_vs_OtherVirus"
"TNIP3",18.2449952908835,-3.1435204558464,0.287564586522,-10.9315284398064,8.14645637583747e-28,1.08388602080518e-24,"Down","COVID19_vs_OtherVirus"
"SNORD8",142.814418646811,2.36696553520727,0.221855721405076,10.6689406981105,1.4223867004483e-26,1.74690969687366e-23,"Up","COVID19_vs_OtherVirus"
"SNORA45B",58.0730279592086,2.72475056148409,0.256066141489323,10.6408076664743,1.92453802073808e-26,2.1947981456503e-23,"Up","COVID19_vs_OtherVirus"
"TSPAN5",81.2501691716321,-3.77881632099852,0.356231837841195,-10.6077445067756,2.74290418679808e-26,2.91954721642787e-23,"Down","COVID19_vs_OtherVirus"
"OSGIN1",57.3451550516797,-3.26915916041047,0.309100242538792,-10.576372032449,3.83522328204461e-26,3.82707343257027e-23,"Down","COVID19_vs_OtherVirus"
"TGFBR3",153.456852433184,-3.73142188950742,0.354128781541819,-10.5369065831402,5.83879450308143e-26,5.483658413894e-23,"Down","COVID19_vs_OtherVirus"
"SNORD12C",76.4366616761339,2.54840432774052,0.244120873623411,10.4391086674209,1.64346535106705e-25,1.45775376639647e-22,"Up","COVID19_vs_OtherVirus"
"SNORD58A",29.5111515052436,3.17137576646325,0.304909335023,10.4010451704406,2.45228469661786e-25,2.06069355085267e-22,"Up","COVID19_vs_OtherVirus"
"SNORD105B",19.0102662973241,2.37788528955533,0.228831776920739,10.3914120737653,2.71306281572568e-25,2.16583804579381e-22,"Up","COVID19_vs_OtherVirus"
"SNORD110",19.021763276255,2.80191290634177,0.270045834493854,10.37569385802,3.19880087784398e-25,2.43200261026938e-22,"Up","COVID19_vs_OtherVirus"
