"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"RN7SL2",10039.2914685011,-4.36940746908269,0.443962187015983,-9.84184598794534,7.43342038176578e-23,9.46646085617873e-19,"Down","OtherVirus_vs_Healthy"
"EYA2",159.637822319628,-5.40986698486507,0.5703374246707,-9.48537962064931,2.41502419354738e-21,1.49792334138079e-17,"Down","OtherVirus_vs_Healthy"
"LETM1",83.3657949317699,-4.77777246493763,0.505811862883503,-9.44575012080733,3.52867689371211e-21,1.49792334138079e-17,"Down","OtherVirus_vs_Healthy"
"RNY5",1367.71590657256,-5.74317139484507,0.660626828858549,-8.6935182526091,3.51385185894267e-18,1.11872258559087e-14,"Down","OtherVirus_vs_Healthy"
"ZNF628",85.6623249444883,-5.88940538941914,0.68965897400157,-8.53959074185226,1.34698048434477e-17,3.43075929362613e-14,"Down","OtherVirus_vs_Healthy"
"LINC00324",92.9882401876437,-8.90360644025056,1.06017623254113,-8.39823245132514,4.53249283129545e-17,9.62021603442459e-14,"Down","OtherVirus_vs_Healthy"
"DANT2",21.9740163817332,-7.51737097106134,0.913374882619523,-8.2303237302758,1.86708162523475e-16,3.39675492819493e-13,"Down","OtherVirus_vs_Healthy"
"RNVU1_1",295.228957456411,-5.99233743559298,0.748107220266261,-8.00999813029506,1.14710187529728e-15,1.82604279773886e-12,"Down","OtherVirus_vs_Healthy"
"LONP1",34.071928557446,-4.00852976135325,0.503212115457129,-7.96588483906396,1.64045662249987e-15,2.32124612083732e-12,"Down","OtherVirus_vs_Healthy"
"RNU5E_1",125.389092567782,-4.9593391050083,0.629799153492096,-7.87447724803991,3.4217046338301e-15,4.35754085118264e-12,"Down","OtherVirus_vs_Healthy"
"EEF2",157.510461753839,-3.40336232974237,0.434954834874066,-7.8246338627958,5.09136517001576e-15,5.89441231274097e-12,"Down","OtherVirus_vs_Healthy"
"LINC01011",434.48560170531,-5.9113259120251,0.76259971698694,-7.75154485420081,9.07812674312637e-15,9.63416200614286e-12,"Down","OtherVirus_vs_Healthy"
"ONECUT1",15.3610485506751,-6.42118551418989,0.851711478914741,-7.53915577417347,4.73023661359175e-14,4.30282594814935e-11,"Down","OtherVirus_vs_Healthy"
"SNORA80B",7.83556263094024,-4.94247199156602,0.655000771744805,-7.5457498750729,4.49692397657252e-14,4.30282594814935e-11,"Down","OtherVirus_vs_Healthy"
"RNU4_1",43.9967566167634,-3.80667204384911,0.507408001757856,-7.50219159071465,6.27595487560274e-14,5.32828568938673e-11,"Down","OtherVirus_vs_Healthy"
"LRRC8D",23.280734505233,-4.97459872286326,0.668699414451802,-7.43921501253507,1.01285353820184e-13,8.06168113062525e-11,"Down","OtherVirus_vs_Healthy"
"SNORD95",57.6754993891119,-4.41686784872905,0.597006997322705,-7.39835189292022,1.37885063423173e-13,1.03292134276124e-10,"Down","OtherVirus_vs_Healthy"
"GSTP1",86.1979733387158,-3.84573969701492,0.528442540714293,-7.27749831006538,3.40067262664726e-13,2.30802995847799e-10,"Down","OtherVirus_vs_Healthy"
"RNVU1_15",32.0215139169765,-5.05527569780478,0.694805855382866,-7.27581044206819,3.44346833224042e-13,2.30802995847799e-10,"Down","OtherVirus_vs_Healthy"
"CNNM2",66.6990492399722,-4.6441698332065,0.64142876660477,-7.24035165711253,4.47522839427469e-13,2.84960168005441e-10,"Down","OtherVirus_vs_Healthy"
"CCHE1",60.0471666867862,-5.68743621770926,0.786571944421753,-7.2306624435866,4.80643681414609e-13,2.91476061086431e-10,"Down","OtherVirus_vs_Healthy"
"COX8A",8.97527756170892,-4.46138538994173,0.617842511942829,-7.22091035126855,5.16406902334558e-13,2.9663899763116e-10,"Down","OtherVirus_vs_Healthy"
"HPS5",16.9489879125185,-4.15636262085314,0.576327709807728,-7.21180423936196,5.52153165802463e-13,2.9663899763116e-10,"Down","OtherVirus_vs_Healthy"
"LRRC59",42.4671997379528,-3.22963677187308,0.448276964010553,-7.20455662717713,5.82330187732941e-13,2.9663899763116e-10,"Down","OtherVirus_vs_Healthy"
"NDUFB7",35.7312953261048,-3.80892196138044,0.528680597967736,-7.20458056532063,5.82227899096667e-13,2.9663899763116e-10,"Down","OtherVirus_vs_Healthy"
"AP3B1",52.0895162375517,-3.4332708363187,0.477237765223402,-7.19404683892007,6.28986022869554e-13,2.98251175996328e-10,"Down","OtherVirus_vs_Healthy"
"SNORA45A",57.1669978518708,-4.73508547572929,0.658261276228254,-7.19332223651477,6.32334648755466e-13,2.98251175996328e-10,"Down","OtherVirus_vs_Healthy"
"VAMP8",49.5110964200219,-3.13394191165641,0.436936192741894,-7.17253906569303,7.36193974586771e-13,3.34836795227233e-10,"Down","OtherVirus_vs_Healthy"
"ALDOA",104.680715603984,-3.07117787653382,0.430202201567323,-7.13891715417735,9.40690053357345e-13,4.13092683776062e-10,"Down","OtherVirus_vs_Healthy"
"SLC9A3R1",65.8185883054241,-3.3539879605419,0.472388503349996,-7.10006263225442,1.24700363152686e-12,5.2935304158315e-10,"Down","OtherVirus_vs_Healthy"
"TMEM165",25.0451587448816,-3.6188957532167,0.510828308910805,-7.08436805495952,1.39680222776086e-12,5.73815366791436e-10,"Down","OtherVirus_vs_Healthy"
"RNF20",99.0299550115363,-3.36310979466305,0.476969971567442,-7.05098852158561,1.7765115184963e-12,7.06996068376575e-10,"Down","OtherVirus_vs_Healthy"
"IFIT2",288.285130843304,4.942604937625,0.704880171351555,7.01197896962817,2.34970530135008e-12,9.06772636748281e-10,"Up","OtherVirus_vs_Healthy"
"HNRNPA0",18.7625065454293,-3.57825091444026,0.511697473419891,-6.99290322956901,2.69255241907983e-12,1.00851926638181e-09,"Down","OtherVirus_vs_Healthy"
"DSC3",33.295867267962,-6.48936448343789,0.932443269771986,-6.95952739840651,3.41416116617616e-12,1.24226692717867e-09,"Down","OtherVirus_vs_Healthy"
"FBXO31",59.0234197231388,-4.55638316590895,0.657006258363409,-6.9350681335347,4.06025425227244e-12,1.43631494174138e-09,"Down","OtherVirus_vs_Healthy"
"MAP2K7",38.0926445709716,-4.4393857385102,0.647691771324327,-6.85416417971939,7.1730663623834e-12,2.46889189526899e-09,"Down","OtherVirus_vs_Healthy"
"SCARNA20",6.70790614225618,-5.57604699524249,0.814448081653794,-6.84641184729656,7.5725271421397e-12,2.53779297776708e-09,"Down","OtherVirus_vs_Healthy"
"DEGS1",17.0456985764108,-4.62214443100322,0.67911529284108,-6.80612626416712,1.00261724832249e-11,3.27393093779151e-09,"Down","OtherVirus_vs_Healthy"
"C8orf46",73.1591318347071,-4.67257118274173,0.68779031697165,-6.79359837939436,1.09370593666045e-11,3.48208627584270e-09,"Down","OtherVirus_vs_Healthy"
"CTNNB1",40.8000802940087,-3.24113911756082,0.478303323304146,-6.77632573232161,1.23270588273819e-11,3.82890473577338e-09,"Down","OtherVirus_vs_Healthy"
"SNORD31",44.7622641112285,-4.61726097265901,0.682016909503849,-6.77000952369049,1.28773918701166e-11,3.90460917776034e-09,"Down","OtherVirus_vs_Healthy"
"CRCP",17.5057827550241,-2.70092166841115,0.399561216843064,-6.75971929846233,1.382593422163e-11,4.00166527982858e-09,"Down","OtherVirus_vs_Healthy"
"SLFNL1",28.4051081677645,-5.44403554302355,0.805053069233863,-6.76233126867577,1.35788780223278e-11,4.00166527982858e-09,"Down","OtherVirus_vs_Healthy"
"H2AFV",19.4900260096435,-3.15982713330878,0.469236662713148,-6.73397324718516,1.65091545685602e-11,4.67209074290254e-09,"Down","OtherVirus_vs_Healthy"
"APEH",9.97668137990231,-3.48887056467286,0.520425658348964,-6.70387885128724,2.02958549578197e-11,5.49931304016668e-09,"Down","OtherVirus_vs_Healthy"
"CD63",52.806312713471,-3.01388550240016,0.449529898690003,-6.70452735442753,2.02059302735676e-11,5.49931304016668e-09,"Down","OtherVirus_vs_Healthy"
"RPL36",23.9308611961058,-3.2841360425759,0.491934905375469,-6.67595652735658,2.45624777532312e-11,6.51673237890414e-09,"Down","OtherVirus_vs_Healthy"
"SNORD13",20.7932894901727,-4.38281131104505,0.657033586133902,-6.67060467461681,2.54751597677993e-11,6.62094203352905e-09,"Down","OtherVirus_vs_Healthy"
"RNVU1_6",8.59830715880691,-6.48492790171693,0.97352842143074,-6.66126202272184,2.71486123079281e-11,6.91475155482928e-09,"Down","OtherVirus_vs_Healthy"
"BCL7C",17.2303997843138,-4.93956054687618,0.742871815469483,-6.64927709466869,2.94536038058924e-11,7.3547381268243e-09,"Down","OtherVirus_vs_Healthy"
"KRT7",137.420774842824,-3.1694026473824,0.476977031872211,-6.64476994823416,3.03691031985085e-11,7.43751017755779e-09,"Down","OtherVirus_vs_Healthy"
"PCNXL4",12.6399796284701,-4.75157738805611,0.717712635966005,-6.62044549579475,3.58117943209777e-11,8.60496605052171e-09,"Down","OtherVirus_vs_Healthy"
"C9orf16",15.3100901350746,-3.90881168096489,0.591065411737993,-6.61316260999144,3.76194815956759e-11,8.80051910010648e-09,"Down","OtherVirus_vs_Healthy"
"PPP2R1A",14.2402025841671,-3.37885233685378,0.511045782621729,-6.61164312817501,3.80077385556228e-11,8.80051910010648e-09,"Down","OtherVirus_vs_Healthy"
"RNU4ATAC",12.5068143571169,-4.61505875965994,0.700281621307973,-6.59028970521891,4.38969163658892e-11,9.98262910570713e-09,"Down","OtherVirus_vs_Healthy"
"SNORA45B",22.3359618642807,-4.338590833296,0.660143619480776,-6.57219233097859,4.95797615268612e-11,1.1077162509554e-08,"Down","OtherVirus_vs_Healthy"
"DCAF4",7.76229760613296,-4.3134376178594,0.656968889392034,-6.56566496147344,5.18011702674762e-11,1.11811509043442e-08,"Down","OtherVirus_vs_Healthy"
"KCTD1",33.0580864152906,-3.90951849809967,0.595305935373716,-6.56724259879146,5.12555054676951e-11,1.11811509043442e-08,"Down","OtherVirus_vs_Healthy"
"ROMO1",11.0596491573261,-4.12781559116279,0.629297341786033,-6.55940414343318,5.40232068758672e-11,1.14664256594028e-08,"Down","OtherVirus_vs_Healthy"
"GOLPH3",32.5618078935237,-3.7836973502608,0.577060784410451,-6.55684366790993,5.49585745161894e-11,1.1473728630552e-08,"Down","OtherVirus_vs_Healthy"
