"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","71/811","244/12405",0.290983606557377,4.45086515332215,14.398356283089,4.49984525311199e-28,1.83368694064314e-24,1.83368694064314e-24,"PTPRC/OASL/OAS1/SLFN11/IRF1/IFIT5/ISG20/DTX3L/IRF9/TBK1/ZNFX1/MLKL/DDX60L/STAT2/IFIH1/TNF/TANK/STAT1/TRIM21/TLR3/TRAF3IP3/IFI44L/IFITM1/IFITM2/IFIT2/PARP9/TRIM25/APOBEC3G/GBP3/PLSCR1/AIM2/TRIM5/TNFAIP3/MX1/GBP2/MX2/LILRB1/SENP7/CXCL10/NT5C3A/RSAD2/IL1B/HSP90AA1/USP18/CLPB/MORC3/PMAIP1/ZC3HAV1/GBP7/HERC5/IFIT3/ZBP1/OAS2/TRIM22/SMARCA5/IFI16/BST2/RTP4/IFITM3/DDX60/CASP1/ISG15/NFKBIZ/OAS3/EIF2AK2/GBP5/IFIT1/IFI27/IFI6/IRF7/GBP1",71
"GO:0009615","response to virus","80/811","319/12405",0.250783699059561,3.83597014406147,13.5715783701159,1.02714237108367e-26,2.09280258108298e-23,2.09280258108298e-23,"PTPRC/OASL/OAS1/SLFN11/IRF1/IFIT5/ISG20/PSMA2/DTX3L/IRF9/FGR/TBK1/ZNFX1/CXCR4/NMI/MLKL/DDX60L/STAT2/IFIH1/HIF1A/TNF/TANK/STAT1/TRIM21/TLR3/TRAF3IP3/IFI44L/IFITM1/IFITM2/IFIT2/PARP9/TRIM25/BCL3/APOBEC3G/GBP3/PLSCR1/AIM2/TRIM5/TNFAIP3/MX1/GBP2/MX2/LILRB1/SENP7/CXCL10/NT5C3A/RSAD2/IL1B/HSP90AA1/USP18/CLPB/MORC3/DCLK1/PMAIP1/ZC3HAV1/GBP7/HERC5/IFIT3/ZBP1/OAS2/ACTA2/TRIM22/SMARCA5/IFI16/BST2/RTP4/IFITM3/DDX60/CASP1/ISG15/IFI44/NFKBIZ/OAS3/EIF2AK2/GBP5/IFIT1/IFI27/IFI6/IRF7/GBP1",80
"GO:0019221","cytokine-mediated signaling pathway","78/811","386/12405",0.202072538860104,3.09088760118321,11.037350392414,8.59342220525081e-20,1.1672731828799e-16,1.1672731828799e-16,"PTPRC/OASL/OAS1/GPS2/LYN/IRF1/IL20RA/SOCS1/CYLD/TBK1/USP25/CXCR4/STAT2/IL18RAP/HIF1A/CCL2/CCR5/EGR1/TNF/NFKBIA/TANK/PARP14/STAT1/TNFRSF1B/CARD16/CASP4/IFITM1/CSF3R/CXCR2/IFITM2/PARP9/CMKLR1/IL18R1/LILRA6/FCER1G/AIM2/TNFAIP3/MX1/TNFSF13B/CEACAM1/IL12RB2/LILRB1/LAPTM5/CXCL10/MIR1246/IL10RA/IL1B/BIRC3/USP18/IL1R2/TRAF1/CXCL11/IL7R/IL2RG/ZBP1/OAS2/NAIP/CXCL9/PLVAP/RPS6KA4/STAT4/CCRL2/STAP1/IFITM3/CCR1/CASP1/ISG15/NFKBIZ/OAS3/IFI27/SP100/FAS/CXCR1/IRF7/IL1RN/LILRB3/PTPN2/JAK2",78
"GO:0002764","immune response-regulating signaling pathway","81/811","454/12405",0.1784140969163,2.72900970683933,9.92653989935528,4.2432551979528e-17,4.32281623291441e-14,4.32281623291441e-14,"PTPRC/OASL/OAS1/S100A8/BTN3A3/FFAR2/GPS2/NCKAP1L/LYN/CLEC2B/IRF1/PIK3AP1/CLEC4E/BTN3A1/TESPA1/FGR/CYLD/TBK1/NMI/LAG3/PRKCB/CD22/IFIH1/TNF/NFKBIA/CD274/BTN2A2/LCP2/TLR3/TRAF3IP3/MNDA/CMKLR1/TRIM25/BTN2A1/HSP90B1/LILRA6/FCER1G/PLSCR1/AIM2/TNFAIP3/LY96/GBP2/SLC15A4/CD38/CEACAM1/LILRB1/LAPTM5/NOS2/RSAD2/BIRC3/CLPB/CD86/BTN3A2/NFKBIL1/FCAR/ZC3HAV1/CD300A/DGKZ/NAIP/FCGR2A/MEF2C/IFI16/USP15/STAP1/DDX60/CASP1/GDI1/NFKBIZ/FCGR3B/OAS3/NEK7/EIF2AK2/GBP5/IRF7/FCGR3A/HMGB1/MSR1/LILRB3/PTPN2/CLEC7A/GBP1",81
"GO:0002253","activation of immune response","81/811","466/12405",0.17381974248927,2.65873477876621,9.65296187107316,2.05760234496839e-16,1.67694591114924e-13,1.67694591114924e-13,"PTPRC/OASL/OAS1/S100A8/BTN3A3/FFAR2/GPS2/NCKAP1L/LYN/CLEC2B/IRF1/PIK3AP1/CLEC4E/BTN3A1/TESPA1/FGR/CYLD/TBK1/ZNFX1/NMI/LAG3/PRKCB/CD22/IFIH1/TNF/NFKBIA/CD274/BTN2A2/LCP2/SERPING1/TLR3/TRAF3IP3/MNDA/CMKLR1/TRIM25/BTN2A1/CFH/HSP90B1/PLSCR1/AIM2/TRIM5/TNFAIP3/LY96/GBP2/SLC15A4/CD38/CEACAM1/LAPTM5/NOS2/RSAD2/IL1B/BIRC3/HSP90AA1/CLPB/CD86/BTN3A2/NFKBIL1/ZC3HAV1/CD300A/ZBP1/DGKZ/NAIP/MEF2C/IFI16/USP15/STAP1/DDX60/CASP1/GDI1/NFKBIZ/OAS3/NEK7/EIF2AK2/GBP5/IRF7/CFB/HMGB1/MSR1/PTPN2/CLEC7A/GBP1",81
"GO:0048525","negative regulation of viral process","27/811","63/12405",0.428571428571429,6.55539897833363,11.691424142483,3.49373409471477e-16,2.37282773932711e-13,2.37282773932711e-13,"OASL/OAS1/IFIT5/ISG20/ZNFX1/IFIH1/LARP7/TNF/STAT1/TRIM21/IFITM1/IFITM2/APOBEC3G/PLSCR1/MX1/RSAD2/ZC3HAV1/OAS2/IFI16/BST2/IFITM3/ISG15/ZFP36/OAS3/EIF2AK2/IFIT1/SP100",27
"GO:0045071","negative regulation of viral genome replication","22/811","42/12405",0.523809523809524,8.01215430685221,12.0389561580327,9.71574882221445e-16,5.65595377864627e-13,5.65595377864627e-13,"OASL/OAS1/IFIT5/ISG20/ZNFX1/IFIH1/TNF/IFITM1/IFITM2/APOBEC3G/PLSCR1/MX1/RSAD2/ZC3HAV1/OAS2/IFI16/BST2/IFITM3/ISG15/OAS3/EIF2AK2/IFIT1",22
"GO:0002757","immune response-activating signaling pathway","73/811","425/12405",0.171764705882353,2.62730108072822,9.02835498521226,1.32554653645614e-14,6.4118362163007e-12,6.4118362163007e-12,"PTPRC/OASL/OAS1/S100A8/BTN3A3/FFAR2/GPS2/NCKAP1L/LYN/CLEC2B/IRF1/PIK3AP1/CLEC4E/BTN3A1/TESPA1/FGR/CYLD/TBK1/NMI/LAG3/PRKCB/CD22/IFIH1/TNF/NFKBIA/CD274/BTN2A2/LCP2/TLR3/TRAF3IP3/MNDA/CMKLR1/TRIM25/BTN2A1/HSP90B1/PLSCR1/AIM2/TNFAIP3/LY96/GBP2/SLC15A4/CD38/CEACAM1/LAPTM5/NOS2/RSAD2/BIRC3/CLPB/CD86/BTN3A2/NFKBIL1/ZC3HAV1/CD300A/DGKZ/NAIP/MEF2C/IFI16/USP15/STAP1/DDX60/CASP1/GDI1/NFKBIZ/OAS3/NEK7/EIF2AK2/GBP5/IRF7/HMGB1/MSR1/PTPN2/CLEC7A/GBP1",73
"GO:0050792","regulation of viral process","35/811","119/12405",0.294117647058824,4.49880322042504,10.1429060003673,1.41611106617684e-14,6.4118362163007e-12,6.4118362163007e-12,"OASL/OAS1/PPIE/PPID/IFIT5/ISG20/ZNFX1/IFIH1/LARP7/TNF/STAT1/TRIM21/IFITM1/IFITM2/TRIM25/APOBEC3G/PLSCR1/TRIM5/MX1/LAMP3/RSAD2/ZC3HAV1/GBP7/OAS2/IFI16/BST2/IFITM3/ISG15/ZFP36/OAS3/EIF2AK2/IFIT1/CXCL8/SP100/HMGB1",35
"GO:0002831","regulation of response to biotic stimulus","76/811","457/12405",0.166301969365427,2.54374344017031,8.89324539400292,2.16829943697873e-14,8.83582020568834e-12,8.83582020568834e-12,"OASL/OAS1/S100A8/FFAR2/GPS2/LYN/IRF1/PIK3AP1/CLEC4E/DTX3L/FGR/CYLD/TBK1/ZNFX1/NMI/LAG3/STAT2/IFIH1/TNF/NFKBIA/PARP14/CD274/STAT1/SERPING1/TRIM21/TLR3/TRAF3IP3/CARD16/MNDA/PARP9/TRIM25/APOBEC3G/CFH/HSP90B1/PLSCR1/AIM2/TRIM5/TNFAIP3/LY96/GBP2/SLC15A4/CEACAM1/LILRB1/RASGRP1/B2M/RSAD2/IL1B/BIRC3/HSP90AA1/USP18/CLPB/NFKBIL1/CEP63/ZC3HAV1/HERC5/CD300A/ZBP1/NAIP/TRIM22/IFI16/USP15/DDX60/CASP1/GDI1/ISG15/NFKBIZ/OAS3/SPINK5/NEK7/EIF2AK2/GBP5/IRF7/HMGB1/MSR1/PTPN2/CLEC7A",76
"GO:1903900","regulation of viral life cycle","31/811","97/12405",0.319587628865979,4.88839030343092,10.1680256397252,3.69739014164828e-14,1.36971498429243e-11,1.36971498429243e-11,"OASL/OAS1/PPIE/PPID/IFIT5/ISG20/ZNFX1/IFIH1/TNF/TRIM21/IFITM1/IFITM2/TRIM25/APOBEC3G/PLSCR1/TRIM5/MX1/LAMP3/RSAD2/ZC3HAV1/GBP7/OAS2/IFI16/BST2/IFITM3/ISG15/OAS3/EIF2AK2/IFIT1/CXCL8/HMGB1",31
"GO:0045069","regulation of viral genome replication","26/811","69/12405",0.376811594202899,5.76368412587787,10.4943363407522,5.09138411110144e-14,1.7289491877282e-11,1.7289491877282e-11,"OASL/OAS1/PPIE/PPID/IFIT5/ISG20/ZNFX1/IFIH1/TNF/IFITM1/IFITM2/APOBEC3G/PLSCR1/MX1/RSAD2/ZC3HAV1/GBP7/OAS2/IFI16/BST2/IFITM3/ISG15/OAS3/EIF2AK2/IFIT1/CXCL8",26
