"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009617","response to bacterium","64/694","379/12561",0.168865435356201,3.05636705116604,9.83026052407401,5.23124170913788e-16,2.2044452562307e-12,1.48286652392072e-12,"NLRC4/PLAA/GHSR/VIL1/PDE4B/IL27/ZNFX1/SLC11A1/CSF2RB/SBNO2/CXCL8/IL10/IL18R1/CARD16/CXCL9/CD200/FGR/MMP8/IRAK2/CD80/CD86/APOL1/GBP2/IL10RA/CCL2/NLRP3/IL6/EDN1/FGB/S100A12/GCH1/S100A9/ITGAM/GBP7/TNIP3/SERPINE1/E2F1/CSF3/TREM1/GBP4/IL1B/MPO/TNFAIP3/KRT6A/SOD2/DAB2IP/IL36RN/SPN/RNASE7/EMILIN2/RASGRP4/AQP1/STATH/GBP5/GBP1/CXCL10/CD274/OPTN/TNF/BPI/CHGA/NOCT/ZFP36/IL18RAP",64
"GO:0019221","cytokine-mediated signaling pathway","63/694","399/12561",0.157894736842105,2.85780373123009,9.11985351877411,2.35385208193281e-14,4.95956633663244e-11,3.3361567373786e-11,"IFNL1/LILRB3/OASL/IL20RA/IL27/INHBA/IFNG/NFKBIA/CSF2RB/OSM/ZBP1/SH2B3/IL1R2/CMKLR1/SPHK1/CSF3R/IL13RA1/MMP12/PDGFB/LILRA6/CXCR2/IFITM2/IRS1/CSF1R/IL10/IL18R1/CARD16/IL2RA/CXCL9/MMP8/IRAK2/CXCL11/TP53/USP18/LILRA1/IRF7/IL10RA/CCL2/SLIT2/PADI2/PLVAP/IL6/EDN1/PXDN/CCL8/CSF3/PRLR/IL1B/SOCS3/CSF1/PLCB1/TNFAIP3/AIM2/CCRL2/DAB2IP/IL36RN/IL1RN/LILRB4/CXCL10/TNF/EGR1/RPS6KA4/IL18RAP",63
"GO:0050727","regulation of inflammatory response","51/694","300/12561",0.17,3.07690201729107,8.80476508013596,4.32625726893225e-13,6.07694937709351e-10,4.0877879699589e-10,"NLRC4/GHSR/FFAR2/NUPR1/IFNG/NR4A3/NFKBIA/OSM/ZBP1/SBNO2/IL1R2/CMKLR1/CD69/SPHK1/IL10/GGT1/IL18R1/CD200/FGR/MVK/MMP8/USP18/GBP2/IL10RA/PDCD1/TEK/NLRP3/IL6/TNFAIP6/LRRK2/S100A12/S100A9/SERPINE1/CASP5/MEFV/CST7/NCF1/IL1B/GPER1/TNFSF14/TNFAIP3/AIM2/RHBDF2/IL36RN/NLRP12/IL1RN/GBP5/GBP1/PIK3AP1/TNF/C2CD4A",51
"GO:0006935","chemotaxis","51/694","319/12561",0.15987460815047,2.8936382607753,8.28457545072554,4.86557079825015e-12,4.10070306876522e-09,2.75842427387298e-09,"FFAR2/PDE4B/VEGFA/NRP1/CMKLR1/PDGFB/CXCR2/CXCL8/CSF1R/ANGPT1/IL10/CXCL9/HBEGF/EFNA5/CXCL11/FGF2/PROK2/SLC8B1/AIF1/CCL17/ROBO3/CCL2/SLIT2/PADI2/IL6/EDN1/TNFAIP6/BMP4/CMTM2/S100A12/CCL8/SEMA6A/S100A9/ITGB2/SERPINE1/SCRIB/PLAUR/JAM3/TREM1/C3AR1/TYMP/CSF1/ATOH7/S1PR1/PDGFRB/CCRL2/PIP5K1C/SPN/KDR/CXCL10/CHGA",51
"GO:0042330","taxis","51/694","319/12561",0.15987460815047,2.8936382607753,8.28457545072554,4.86557079825015e-12,4.10070306876522e-09,2.75842427387298e-09,"FFAR2/PDE4B/VEGFA/NRP1/CMKLR1/PDGFB/CXCR2/CXCL8/CSF1R/ANGPT1/IL10/CXCL9/HBEGF/EFNA5/CXCL11/FGF2/PROK2/SLC8B1/AIF1/CCL17/ROBO3/CCL2/SLIT2/PADI2/IL6/EDN1/TNFAIP6/BMP4/CMTM2/S100A12/CCL8/SEMA6A/S100A9/ITGB2/SERPINE1/SCRIB/PLAUR/JAM3/TREM1/C3AR1/TYMP/CSF1/ATOH7/S1PR1/PDGFRB/CCRL2/PIP5K1C/SPN/KDR/CXCL10/CHGA",51
"GO:0031640","killing of cells of another organism","19/694","53/12561",0.358490566037736,6.48847262247839,9.68276929812271,2.01331419892497e-11,1.21201514775283e-08,8.15287512360619e-09,"CXCL8/CXCL9/CXCL11/CCL17/GBP2/PRF1/S100A12/CCL8/GBP7/TREM1/MPO/KRT6A/GZMB/RNASE7/STATH/GBP5/GBP1/CXCL10/CHGA",19
"GO:0141061","disruption of cell in another organism","19/694","53/12561",0.358490566037736,6.48847262247839,9.68276929812271,2.01331419892497e-11,1.21201514775283e-08,8.15287512360619e-09,"CXCL8/CXCL9/CXCL11/CCL17/GBP2/PRF1/S100A12/CCL8/GBP7/TREM1/MPO/KRT6A/GZMB/RNASE7/STATH/GBP5/GBP1/CXCL10/CHGA",19
"GO:0032496","response to lipopolysaccharide","41/694","232/12561",0.176724137931034,3.19860503825897,8.17393855565752,2.60565249576645e-11,1.37252745214498e-08,9.23259494058845e-09,"PLAA/GHSR/PDE4B/SLC11A1/CSF2RB/SBNO2/CXCL8/IL10/IL18R1/CARD16/CXCL9/CD200/MMP8/IRAK2/CD80/CD86/GBP2/IL10RA/CCL2/NLRP3/IL6/EDN1/GCH1/TNIP3/SERPINE1/E2F1/CSF3/IL1B/MPO/TNFAIP3/SOD2/DAB2IP/IL36RN/GBP5/CXCL10/CD274/TNF/BPI/NOCT/ZFP36/IL18RAP",41
"GO:0032102","negative regulation of response to external stimulus","47/694","295/12561",0.159322033898305,2.88363698529771,7.91700320595022,3.89786582813103e-11,1.82506739997157e-08,1.22767001977827e-08,"GHSR/SERPINB9/NR4A3/CD109/SH2B3/IL1R2/CD69/SPP1/MMP12/PDGFB/IL10/IL18R1/CARD16/SERPINE2/CD200/FGR/MVK/FGF2/AIF1/USP18/ROBO3/IL10RA/CCL2/SLIT2/THBD/PADI2/PDCD1/TEK/NLRP3/EDN1/TNFAIP6/FGB/SERPINE1/MEFV/PLAUR/CST7/IL1B/GPER1/TNFSF14/TNFAIP3/RHBDF2/IL36RN/NLRP12/IL1RN/KLRD1/TNF/CR1",47
"GO:0002237","response to molecule of bacterial origin","41/694","240/12561",0.170833333333333,3.091984870317,7.91307469256813,7.84404117341232e-11,3.30547895047595e-08,2.22350002447619e-08,"PLAA/GHSR/PDE4B/SLC11A1/CSF2RB/SBNO2/CXCL8/IL10/IL18R1/CARD16/CXCL9/CD200/MMP8/IRAK2/CD80/CD86/GBP2/IL10RA/CCL2/NLRP3/IL6/EDN1/GCH1/TNIP3/SERPINE1/E2F1/CSF3/IL1B/MPO/TNFAIP3/SOD2/DAB2IP/IL36RN/GBP5/CXCL10/CD274/TNF/BPI/NOCT/ZFP36/IL18RAP",41
