"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071345","cellular response to cytokine stimulus","30/81","488/10540",0.0614754098360656,7.99939283545841,13.9328887648219,6.07641419574805e-20,1.05000437302526e-16,1.39004519304978e-17,"GBP2/OASL/IFIT1/SOCS1/GBP4/CCL2/MNDA/ISG15/TNF/CXCL9/CARD16/TNFSF13B/CXCR2/IL1R2/CMKLR1/PARP14/CXCL11/RPS6KA4/IFITM1/RUFY4/CCL8/ZBP1/GBP5/USP18/AIM2/IFIT3/CXCL8/IFIT2/GBP1/CXCL10",30
"GO:0051607","defense response to virus","22/81","223/10540",0.0986547085201794,12.8372917012678,15.7226300730002,6.33318610447091e-19,5.47187279426287e-16,7.24392266360774e-17,"GBP2/OASL/IFIT1/ISG15/IFIH1/TNF/MX2/DDX60/HERC5/IFITM1/DDX60L/IFI6/ZBP1/GBP5/RSAD2/USP18/AIM2/NT5C3A/IFIT3/IFIT2/GBP1/CXCL10",22
"GO:0009615","response to virus","23/81","292/10540",0.0787671232876712,10.2494503636056,14.1053843231283,1.43269742304877e-17,8.25233715676092e-15,1.09248322110612e-15,"GBP2/OASL/IFIT1/ISG15/IFIH1/TNF/MX2/DDX60/HERC5/IFITM1/DDX60L/CCL8/IFI6/ZBP1/GBP5/RSAD2/USP18/AIM2/NT5C3A/IFIT3/IFIT2/GBP1/CXCL10",23
"GO:0019221","cytokine-mediated signaling pathway","20/81","333/10540",0.0600600600600601,7.81522263003744,11.1211637873254,4.53642675624983e-13,1.95973635869993e-10,2.5943911997309e-11,"OASL/SOCS1/CCL2/ISG15/TNF/CXCL9/CARD16/TNFSF13B/CXCR2/IL1R2/CMKLR1/PARP14/CXCL11/RPS6KA4/IFITM1/CCL8/ZBP1/USP18/AIM2/CXCL10",20
"GO:0031640","killing of cells of another organism","9/81","37/10540",0.243243243243243,31.6516516516517,16.435964355921,6.19281810269796e-12,1.78353161357701e-09,2.3611230674802e-10,"GBP2/CXCL9/CXCL11/CCL8/GBP5/GZMB/CXCL8/GBP1/CXCL10",9
"GO:0141061","disruption of cell in another organism","9/81","37/10540",0.243243243243243,31.6516516516517,16.435964355921,6.19281810269796e-12,1.78353161357701e-09,2.3611230674802e-10,"GBP2/CXCL9/CXCL11/CCL8/GBP5/GZMB/CXCL8/GBP1/CXCL10",9
"GO:0141060","disruption of anatomical structure in another organism","9/81","41/10540",0.219512195121951,28.5636856368564,15.5615330289074,1.70145284989039e-11,4.20015789230086e-09,5.56036664058961e-10,"GBP2/CXCL9/CXCL11/CCL8/GBP5/GZMB/CXCL8/GBP1/CXCL10",9
"GO:0002831","regulation of response to biotic stimulus","20/81","409/10540",0.0488997555012225,6.36300522201093,9.73510962457872,2.00544019961336e-11,4.33175083116486e-09,5.73457556467263e-10,"FFAR2/GBP2/OASL/SERPING1/MNDA/ISG15/IFIH1/TNF/CD274/CLEC4E/TNIP3/CARD16/PARP14/DDX60/HERC5/ZBP1/GBP5/RSAD2/USP18/AIM2",20
"GO:0032103","positive regulation of response to external stimulus","20/81","436/10540",0.0458715596330275,5.96896590780383,9.32523367040843,6.35875602302878e-11,1.22088115642153e-08,1.61625991887937e-09,"FFAR2/GBP2/OASL/CCL2/MNDA/IFIH1/TNF/CD274/CLEC4E/TNIP3/CASP5/CMKLR1/DDX60/ZBP1/GBP5/RSAD2/AIM2/CXCL8/GBP1/CXCL10",20
"GO:0045088","regulation of innate immune response","18/81","349/10540",0.0515759312320917,6.71123845908946,9.54842489351343,1.00979521920994e-10,1.74492613879478e-08,2.31001532352687e-09,"FFAR2/GBP2/OASL/SERPING1/MNDA/ISG15/IFIH1/TNF/CD274/CLEC4E/TNIP3/PARP14/DDX60/ZBP1/GBP5/RSAD2/USP18/AIM2",18
