"gene","covid_healthy_log2FC","covid_healthy_padj","covid_virus_log2FC","covid_virus_padj","direction"
"SNORD87",1.60617972782131,0.00268608381998281,2.88144789363999,3.88001391418928e-32,"Higher in COVID-19"
"SNORD102",2.83117318822009,0.00213776538987254,4.48358845099947,7.88820429784643e-32,"Higher in COVID-19"
"MIR191",2.25118573447386,0.0162110643899062,-3.97233809520373,1.47661816541674e-27,"Higher in COVID-19"
"SNORD99",1.35105549819067,0.0276893515281022,2.96623821987094,1.47661816541674e-27,"Higher in COVID-19"
"SNORD61",1.41566351816017,0.0224438301208902,2.96446176785507,9.35405902818741e-26,"Higher in COVID-19"
"SNORD45A",2.04991692054249,0.0214729334009272,3.74228705790248,1.84855804706447e-25,"Higher in COVID-19"
"SNORD12B",2.35954983141064,0.000177049288657887,3.1697461564209,4.79615547610831e-25,"Higher in COVID-19"
"SNORD8",1.27208818974041,0.00512973048734083,2.36696553520727,1.74690969687366e-23,"Higher in COVID-19"
"SNORD12C",2.33419908697496,1.40170028283074e-06,2.54840432774052,1.45775376639647e-22,"Higher in COVID-19"
"TFEC",2.37449779147674,0.00431812536480622,-3.40664422209517,3.74021898268461e-22,"Higher in COVID-19"
"SNORD79",2.19880225125256,0.00248489491657998,3.12905971549498,9.23599492713412e-21,"Higher in COVID-19"
"RPS6KA4",1.60962269038363,0.033615185898777,-2.76946852504374,6.57744284426747e-20,"Higher in COVID-19"
"CMKLR1",1.58850813813498,0.0280419673928802,-2.49603428865386,2.94774316809873e-19,"Higher in COVID-19"
"RNY5",-1.49032769620075,0.0110199252260134,2.29250277489313,4.67752411879798e-19,"Lower in COVID-19"
"SNORD21",1.4524721063065,0.0192779234286624,2.4767172923963,7.23804075463416e-19,"Higher in COVID-19"
"SNORD76",1.70803116108624,0.00184654137566877,2.44439729346182,7.4808294386216e-19,"Higher in COVID-19"
"SNORD1C",1.59382153822958,0.0409771140090356,2.98002447976692,1.2407021377472e-18,"Higher in COVID-19"
"BCLAF1",1.60361187261142,0.00112786929438268,-2.22628186886172,3.94983901242801e-18,"Higher in COVID-19"
"PPP1R15A",1.73105994900189,0.00145744138797197,-1.67288999687825,5.8156954090295e-18,"Higher in COVID-19"
"TRIM2",1.29709881054894,0.0158915134704976,-2.55316785237921,2.82857869694754e-17,"Higher in COVID-19"
"FLI1",1.98473576313205,0.0130223950543877,-3.1113902143172,7.46620782059599e-17,"Higher in COVID-19"
"GBP5",3.52501759357735,6.25182350864632e-09,-1.84197336322964,1.89309496329707e-16,"Higher in COVID-19"
"SNORD29",2.69996636610738,6.33305993864706e-05,2.73931859774808,1.98451008648071e-16,"Higher in COVID-19"
"CD274",2.76416877395131,1.08092272431889e-05,-2.02464387552481,2.14535779812775e-16,"Higher in COVID-19"
"SNORD47",1.61182042508043,0.00252667110720037,2.23219023324115,2.9582034668424e-16,"Higher in COVID-19"
"MLKL",1.64051548847681,0.0065095730545163,-1.87883259541316,7.54837976191842e-16,"Higher in COVID-19"
"IL20RA",1.69074334300741,0.0221328938489846,-2.60367614422848,2.42778273788445e-15,"Higher in COVID-19"
"SNORD14D",1.58995057512843,0.0480673979072323,2.66499348151524,4.12158071322144e-15,"Higher in COVID-19"
"SNORD63",1.76973533086467,0.0414428102782647,2.93379275812776,1.47268307149058e-14,"Higher in COVID-19"
"ZNF81",2.42694113005006,0.0109787384598371,-3.4433920871861,1.96181398226495e-14,"Higher in COVID-19"
"SLAMF7",2.26596324095512,0.00246905443117284,-2.43780552844969,3.18966331193319e-14,"Higher in COVID-19"
"SNORA45A",-1.0825630325883,0.01955399865756,1.82776061077993,3.18966331193319e-14,"Lower in COVID-19"
"PLAUR",1.98721248832955,0.0159128848298068,-2.01843987369704,4.39496943911106e-14,"Higher in COVID-19"
"ZEB2",1.73777282868345,0.00193427406228396,-1.83031708213623,5.22684972620114e-14,"Higher in COVID-19"
"GDI1",3.29348494828434,5.11794639280426e-06,1.77125883036728,6.25843556167917e-14,"Higher in COVID-19"
"PTMS",-1.07395190716167,0.0190223804338215,-1.60307647859749,1.27518593198372e-13,"Lower in COVID-19"
"LOXHD1",-1.79156801019821,0.0038267635536606,-1.97818000227463,1.65258458219011e-13,"Lower in COVID-19"
"GBP2",2.38702463983676,1.92261451799105e-05,-1.49769994413604,1.73518045523488e-13,"Higher in COVID-19"
"GBP1",3.20576899714572,2.23326803895811e-10,-1.59362891974216,2.06701367948836e-13,"Higher in COVID-19"
"SNORD80",1.67662544016685,0.0143694287755422,2.41445906685687,2.07789583508067e-13,"Higher in COVID-19"
"ZNFX1",1.07179455612638,0.000177049288657887,-1.28793172646692,4.67523707440056e-13,"Higher in COVID-19"
"SNORA64",1.21091369911927,0.030035168446344,1.85467301343144,1.63973201313097e-12,"Higher in COVID-19"
"SYNJ1",1.99533967088877,0.0153933187011248,1.88549257915389,2.41138589132166e-12,"Higher in COVID-19"
"SNORA20",1.12261500204998,0.0240324069841312,1.65708030565605,2.71783198565959e-12,"Higher in COVID-19"
"SNORA14B",1.23480533489363,0.015071798539472,1.78090675119192,7.21749252360667e-12,"Higher in COVID-19"
"CD164",1.37774229039834,0.0165262059626913,-2.16433367498965,8.68351501812863e-12,"Higher in COVID-19"
"OTOF",1.3606664077737,0.0242588393285876,-1.78548805820358,8.72833744708049e-12,"Higher in COVID-19"
"L3MBTL1",3.02809837854252,0.000555089105081994,2.13019596025587,1.95721072116457e-11,"Higher in COVID-19"
