"gene","covid_log2FC","covid_padj","covid_direction","virus_log2FC","virus_padj","virus_direction","shared_direction"
"LETM1",-2.85155504561806,2.31891628260835e-24,"Down",-4.77777246493763,1.49792334138079e-17,"Down","Shared Down"
"ATP2A2",-2.55768793243956,5.25111734256168e-21,"Down",-4.00958704047202,1.28194331938138e-07,"Down","Shared Down"
"FTH1P3",-4.2468658822398,5.43733028049951e-17,"Down",-5.43284872686797,1.57646499656578e-07,"Down","Shared Down"
"LRRC8D",-2.57245210978847,1.04525376709973e-15,"Down",-4.97459872286326,8.06168113062525e-11,"Down","Shared Down"
"AP3B1",-1.52786861816523,2.9151026992637e-15,"Down",-3.4332708363187,2.98251175996328e-10,"Down","Shared Down"
"DSC3",-4.29727424084858,9.94572852289604e-15,"Down",-6.48936448343789,1.24226692717867e-09,"Down","Shared Down"
"GOLPH3",-1.58955116872745,2.12499994826795e-14,"Down",-3.7836973502608,1.1473728630552e-08,"Down","Shared Down"
"IRAK1",-2.93611161758272,2.55480550245108e-14,"Down",-4.17991687713348,1.85049224281648e-06,"Down","Shared Down"
"SYNCRIP",-1.32424981029412,4.88309697515005e-14,"Down",-3.16775849620968,3.26273895471632e-06,"Down","Shared Down"
"CCHE1",-4.00892804599937,5.49948569438924e-14,"Down",-5.68743621770926,2.91476061086431e-10,"Down","Shared Down"
"FBXO31",-2.49444108087984,6.58543512975794e-14,"Down",-4.55638316590895,1.43631494174138e-09,"Down","Shared Down"
"MAP2K7",-2.53097656291114,9.46407357741677e-14,"Down",-4.4393857385102,2.46889189526899e-09,"Down","Shared Down"
"GLIS3",-2.57335453731619,2.4804824292603e-12,"Down",-2.53425593832628,0.0129567790565571,"Down","Shared Down"
"C8orf46",-3.28747686689591,2.71228813636638e-12,"Down",-4.67257118274173,3.48208627584270e-09,"Down","Shared Down"
"TTC30A",-2.76653643579232,3.28726186736037e-12,"Down",-3.9509818206599,0.000121213313984853,"Down","Shared Down"
"NACC2",-1.9769709529264,3.63988115485413e-12,"Down",-3.74509129458476,3.48280834496618e-05,"Down","Shared Down"
"ESR1",-3.68215103438473,4.34815785625455e-12,"Down",-4.52590547025295,0.000156957095320074,"Down","Shared Down"
"RNF125",-2.914927003537,5.38949361016336e-12,"Down",-3.93026207261981,3.60812742008283e-05,"Down","Shared Down"
"RNVU1_6",-4.24329738429149,8.06396618391898e-12,"Down",-6.48492790171693,6.91475155482928e-09,"Down","Shared Down"
"RRP9",-2.98649171733702,1.02979179064381e-11,"Down",-4.34088915072499,5.03229095809648e-07,"Down","Shared Down"
"ZNF628",-3.22568478836024,1.56814410313084e-11,"Down",-5.88940538941914,3.43075929362613e-14,"Down","Shared Down"
"TRUB2",-2.41941796974228,5.57642588553246e-11,"Down",-5.04535485745326,4.72254190428672e-06,"Down","Shared Down"
"SHF",-2.8870431426753,7.65646429550354e-11,"Down",-4.99194593978494,1.23658127859737e-07,"Down","Shared Down"
"STBD1",-2.87836958148398,1.2085956442327e-10,"Down",-4.50104573145909,8.56665668097466e-06,"Down","Shared Down"
"EYA2",-2.50752547040624,1.73941138374075e-10,"Down",-5.40986698486507,1.49792334138079e-17,"Down","Shared Down"
"BCL7C",-2.94109767378309,1.87941020074454e-10,"Down",-4.93956054687618,7.3547381268243e-09,"Down","Shared Down"
"YPEL1",-2.96705692680239,3.10305126819459e-10,"Down",-4.26447471262449,0.000779489339373704,"Down","Shared Down"
"DCAF4",-2.04905435699179,3.21755380488396e-10,"Down",-4.3134376178594,1.11811509043442e-08,"Down","Shared Down"
"LONP1",-1.50584823664933,3.31936140814379e-10,"Down",-4.00852976135325,2.32124612083732e-12,"Down","Shared Down"
"EMX2OS",-3.89690427722291,4.9841406727087e-10,"Down",-5.43961530075557,5.73818744100794e-08,"Down","Shared Down"
"RNF20",-1.44973112537301,5.02938316885021e-10,"Down",-3.36310979466305,7.06996068376575e-10,"Down","Shared Down"
"LINC00324",-5.23428731167513,6.45699549667697e-10,"Down",-8.90360644025056,9.62021603442459e-14,"Down","Shared Down"
"WBSCR16",-1.82702235442696,7.13662533669361e-10,"Down",-3.934973650732,6.17617461736958e-07,"Down","Shared Down"
